cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,Gill-Color
,y,g,f,f,,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p,p,p
f,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,8,l,h,y,d,p,p
,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p,p,p
,f,y,f,,,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,p,p,p
f,f,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,g,p,p
,f,y,f,,,c,b,g,e,b,k,k,p,p,p,w,8,l,h,y,d,p,g
,y,G,f,f,,c,b,h,e,b,k,k,p,b,p,w,8,l,h,v,p,p,h
f,y,g,f,,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g,p,h
f,f,g,f,,,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g,p,g
f,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,8,l,h,v,d,p,g
f,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,8,l,h,v,d,p,h
f,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,8,l,h,v,p,p,g
x,f,G,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d,p,u
f,s,B,t,f,f,c,b,w,t,b,f,f,w,w,p,w,8,p,h,v,g,p,w
f,f,e,t,,,c,b,w,t,b,s,s,g,w,p,w,8,p,k,v,d,e,w
x,y,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p,p,g
,y,g,f,f,,c,b,p,e,b,k,k,p,n,p,w,8,l,h,y,d,p,p
,y,g,f,,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g,p,g
,f,g,t,n,,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,e,u
x,y,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d,p,p
x,y,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,8,l,h,v,p,p,p
f,f,y,f,,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p,p,p
x,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p,p,h
,f,Y,f,f,,c,b,h,e,b,k,k,b,b,p,w,8,l,h,y,d,p,h
x,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,p,h
f,s,w,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,u,p,w
x,y,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,8,l,h,v,d,p,p
x,f,y,f,,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g,p,g
f,y,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,8,l,h,y,p,p,g
x,y,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,8,l,h,v,p,p,p
x,f,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,8,l,h,v,d,p,p
f,y,U,f,n,f,c,n,h,e,,s,f,w,w,p,w,8,f,h,v,d,e,h
f,f,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,8,l,h,y,d,p,h
,y,g,f,f,,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g,p,p
x,y,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,8,l,h,y,g,p,h
,f,g,f,f,,c,b,g,e,b,k,k,b,n,p,w,8,l,h,y,g,p,g
f,y,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,8,p,n,y,d,e,n
,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,8,l,h,v,p,p,h
f,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,p,h
x,y,g,f,,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,p,h
f,f,y,f,,,c,b,p,e,b,k,k,n,n,p,w,8,l,h,y,g,p,p
x,f,y,f,,,c,b,h,e,b,k,k,b,b,p,w,8,l,h,v,d,p,h
x,y,y,f,,f,c,b,g,e,b,k,k,b,n,p,w,8,l,h,v,p,p,g
x,f,y,f,,f,c,b,g,e,b,k,k,b,n,p,w,8,l,h,v,p,p,g
f,y,g,f,,,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g,p,g
x,s,w,t,f,f,c,b,h,t,b,f,f,w,w,p,w,8,p,h,s,u,p,h
,y,e,t,n,f,c,b,w,e,,s,s,w,w,p,w,t,e,w,c,w,e,w
x,y,u,f,,,c,n,w,e,,s,f,w,w,p,w,8,f,h,y,d,e,w
x,y,y,f,,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,g,p,p
,y,g,f,f,,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d,p,p
x,f,y,f,f,,c,b,p,e,b,k,k,p,p,p,w,8,l,h,y,p,p,p
f,f,g,f,f,,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d,p,h
x,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p,p,g
f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,g,p,h
f,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g,p,p
x,y,g,f,f,,c,b,h,e,b,k,k,p,p,p,w,8,l,h,y,p,p,h
f,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p,p,g
f,s,p,t,n,f,c,b,w,e,,s,s,w,e,p,w,t,e,w,c,w,e,w
f,f,g,f,f,,c,b,h,e,b,k,k,p,n,p,w,8,l,h,y,p,p,h
x,y,Y,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,p,g
x,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p,p,g
f,f,y,f,,f,c,b,g,e,b,k,k,b,n,p,w,8,l,h,v,g,p,g
x,f,y,f,,f,c,b,p,e,b,k,k,p,n,p,w,8,l,h,y,d,p,p
f,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,8,l,h,y,d,p,g
,y,y,f,,f,c,b,g,e,b,k,k,n,p,p,w,8,l,h,y,p,p,g
x,y,g,f,f,,c,b,p,e,b,k,k,b,p,p,w,8,l,h,y,g,p,p
x,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,8,l,h,y,d,p,g
f,f,Y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,8,l,h,y,p,p,g
f,f,G,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d,p,p
,y,g,f,f,,c,b,h,e,b,k,k,b,n,p,w,8,l,h,y,p,p,h
f,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p,p,p
f,y,G,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d,p,h
x,y,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g,p,p
,f,G,f,f,,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,p,h
x,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,p,h
f,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,d,p,p
x,y,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,8,l,h,y,p,p,g
,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g,p,p
x,y,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,8,l,h,v,p,p,h
f,f,y,f,f,,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p,p,h
f,y,n,t,n,,c,b,n,t,b,s,s,w,g,p,w,o,p,n,y,d,e,n
f,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,d,p,h
x,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,8,l,h,y,p,p,h
x,s,g,t,,,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,g,p,h
,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,p,h
x,y,y,f,,f,c,b,p,e,b,k,k,n,p,p,w,8,l,h,v,p,p,p
x,f,W,f,,f,c,n,g,e,b,s,s,w,w,p,w,8,p,k,s,d,p,g
x,f,y,f,f,,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d,p,g
f,s,b,t,,f,c,b,h,t,b,f,s,w,w,p,w,8,p,h,s,u,p,h
x,y,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,p,h
x,y,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,8,l,h,y,d,p,h
f,f,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,8,l,h,y,g,p,g
f,s,p,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g,p,w
f,s,b,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,v,u,p,p
x,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,g,p,g
x,y,g,f,f,,c,b,h,e,b,k,k,p,b,p,w,8,l,h,y,g,p,h
x,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,8,l,h,v,g,p,p
f,f,g,f,f,,c,b,g,e,b,k,k,p,n,p,w,8,l,h,y,p,p,g
f,f,g,f,,f,c,b,g,e,b,k,k,p,p,p,w,8,l,h,v,p,p,g
,f,y,f,,,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p,p,h
f,f,y,f,,f,c,b,h,e,b,k,k,p,n,p,w,8,l,h,v,p,p,h
f,y,u,f,n,f,c,n,u,e,,s,f,w,w,p,w,o,f,h,v,d,e,u
,f,Y,f,,f,c,b,g,e,b,k,k,b,b,p,w,8,l,h,y,g,p,g
f,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,e,w
f,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,8,l,h,y,g,p,g
x,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,8,l,h,v,g,p,g
x,y,n,f,f,f,c,n,b,t,,k,s,p,p,p,w,o,e,w,v,l,p,b
x,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g,p,g
x,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d,p,p
f,f,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,8,l,h,y,g,p,p
x,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p,p,g
x,y,g,f,,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g,p,h
x,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,8,l,h,y,d,p,h
,f,y,f,,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,g,p,h
f,y,g,f,,,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,p,p,g
,y,g,f,,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,p,h
f,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,8,p,n,y,d,e,n
x,y,Y,f,,f,c,b,g,e,b,k,k,n,p,p,w,8,l,h,v,g,p,g
f,f,E,t,n,f,c,b,w,t,b,s,s,w,w,p,w,8,p,k,y,d,e,w
,f,y,f,,f,c,b,h,e,b,k,k,b,n,p,w,8,l,h,y,d,p,h
x,y,g,f,f,,c,b,h,e,b,k,k,p,b,p,w,8,l,h,y,p,p,h
f,y,g,f,f,,c,b,h,e,b,k,k,p,n,p,w,8,l,h,y,p,p,h
x,f,y,f,f,,c,b,p,e,b,k,k,p,b,p,w,8,l,h,y,p,p,p
f,f,g,f,,f,c,b,h,e,b,k,k,n,b,p,w,8,l,h,v,d,p,h
,f,g,f,,,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d,p,p
,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,8,l,h,y,p,p,p
,y,g,f,,f,c,b,g,e,b,k,k,p,n,p,w,8,l,h,y,g,p,g
x,f,y,f,,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d,p,g
x,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p,p,h
,f,y,f,f,,c,b,g,e,b,k,k,n,p,p,w,8,l,h,v,d,p,g
x,y,g,f,,f,c,b,g,e,b,k,k,b,p,p,w,8,l,h,y,d,p,g
,f,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,8,l,h,y,p,p,g
f,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,8,l,h,v,d,p,g
,f,p,f,c,,w,n,p,e,b,s,s,w,w,p,w,8,p,k,s,d,p,p
,f,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,8,l,h,v,d,p,g
x,y,G,f,f,f,c,b,h,e,b,k,k,n,p,p,w,8,l,h,v,d,p,h
x,y,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,p,p
x,y,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,8,l,h,v,d,p,h
,y,y,f,,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,p,h
,y,g,f,,,c,b,g,e,b,k,k,b,p,p,w,8,l,h,y,p,p,g
x,f,y,f,,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,p,g
f,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,8,l,h,v,d,p,g
f,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,8,l,h,v,g,p,p
x,y,y,f,,,c,b,p,e,b,k,k,p,n,p,w,8,l,h,y,d,p,p
f,f,y,f,,f,c,b,h,e,b,k,k,p,b,p,w,8,l,h,y,d,p,h
,y,G,f,,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,p,g
x,y,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,d,p,p
x,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,8,l,h,v,d,p,g
x,y,g,f,,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g,p,g
,f,y,f,,f,c,b,g,e,b,k,k,n,b,p,w,8,l,h,v,g,p,g
x,y,g,f,,f,c,b,p,e,b,k,k,n,b,p,w,8,l,h,y,d,p,p
f,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p,p,g
f,f,g,f,f,,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g,p,p
x,y,g,f,,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,p,h
x,f,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,8,l,h,v,d,p,h
x,y,g,f,,f,c,b,g,e,b,k,k,p,n,p,w,8,l,h,y,d,p,g
f,f,G,f,,,c,b,p,e,b,k,k,n,b,p,w,8,l,h,v,p,p,p
x,y,y,f,,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p,p,h
x,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d,p,h
f,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,d,p,p
f,f,g,f,,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,p,p,p
x,s,p,t,n,f,c,b,e,e,,s,s,w,w,p,w,8,e,w,c,w,e,e
f,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,8,l,h,v,d,p,p
,s,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,8,p,k,v,d,p,g
,f,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g,p,h
f,f,g,f,,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,p,g
x,f,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,8,l,h,y,g,p,p
f,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d,e,p
x,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,8,l,h,v,d,p,g
x,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,p,p
f,y,G,f,f,f,c,b,h,e,b,k,k,n,p,p,w,8,l,h,v,g,p,h
f,f,y,f,,,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,g,p,p
f,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,e,n
x,y,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,p,p,h
f,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p,p,h
,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,p,p,h
f,f,y,f,,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d,p,h
f,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d,p,h
f,y,G,f,,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,g,p,h
f,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g,p,h
x,y,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,8,l,h,y,g,p,p
f,y,g,f,f,,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,p,g
x,y,y,f,,f,c,b,g,e,b,k,k,n,n,p,w,8,l,h,y,g,p,g
f,f,G,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,e,u
x,s,g,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,s,g,p,h
x,y,n,f,,f,c,n,b,t,,s,k,p,w,p,w,8,e,w,v,p,p,b
f,s,G,t,f,f,c,b,p,t,b,s,f,w,w,p,w,8,p,h,v,g,p,p
f,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,8,l,h,y,g,p,g
f,y,y,f,,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,g,p,g
,y,g,f,f,,c,b,p,e,b,k,k,b,p,p,w,8,l,h,v,d,p,p
,y,e,t,,f,c,b,e,e,,s,s,w,e,p,w,8,e,w,c,w,e,e
,y,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,8,l,h,v,p,p,p
x,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,p,h
f,f,G,f,f,,c,b,g,e,b,k,k,b,b,p,w,8,l,h,y,d,p,g
x,y,y,f,,,c,b,p,e,b,k,k,p,b,p,w,8,l,h,y,d,p,p
f,f,y,f,f,,c,b,p,e,b,k,k,n,b,p,w,8,l,h,y,g,p,p
f,y,n,t,n,,c,b,e,e,,s,s,e,e,p,w,8,e,w,c,w,e,e
f,y,g,f,,f,c,b,p,e,b,k,k,p,n,p,w,8,l,h,v,g,p,p
k,f,n,f,n,f,c,n,w,e,,k,y,w,n,p,w,o,e,w,v,d,p,w
f,f,g,f,f,,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d,p,g
f,f,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p,p,h
,y,n,f,s,f,c,n,b,t,,s,k,w,p,p,w,o,e,w,v,p,p,b
f,f,g,f,,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,d,p,h
,f,g,f,f,,c,b,g,e,b,k,k,b,b,p,w,8,l,h,y,p,p,g
f,s,w,t,f,,c,b,w,t,b,f,f,w,w,p,w,8,p,h,v,g,p,w
f,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,8,l,h,v,d,p,g
x,y,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g,p,h
x,f,Y,f,f,,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g,p,h
x,y,e,t,,f,c,b,w,e,,s,s,e,e,p,w,8,e,w,c,w,e,w
f,y,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,d,p,g
b,f,y,f,,f,c,n,w,e,,k,y,w,n,p,w,8,e,w,v,d,p,w
f,y,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,8,l,h,v,d,p,p
x,s,g,t,f,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,s,u,p,p
f,y,Y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,8,l,h,v,d,p,h
,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,8,l,h,v,g,p,p
k,y,E,t,n,,c,b,e,e,,s,s,w,w,p,w,8,e,w,c,w,e,e
f,f,y,f,,f,c,b,p,e,b,k,k,b,p,p,w,8,l,h,v,p,p,p
f,f,y,f,f,f,c,b,g,e,b,k,k,p,n,p,w,8,l,h,v,p,p,g
k,y,n,f,n,f,w,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l,e,w
x,s,w,f,,f,c,n,p,e,b,s,s,w,w,p,w,8,p,n,v,d,p,p
x,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,p,g
x,f,y,f,,,c,b,g,e,b,k,k,n,b,p,w,8,l,h,v,p,p,g
x,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,8,l,h,y,d,p,g
f,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,8,l,h,v,p,p,p
,s,b,t,n,f,c,b,g,e,b,s,s,w,w,p,w,8,p,r,v,g,p,g
x,s,w,t,,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g,p,h
f,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,8,p,n,y,d,e,n
,s,w,t,,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,m,p,g
f,y,p,t,,f,c,b,w,e,,s,s,e,e,p,w,8,e,w,c,w,e,w
,s,w,t,,f,c,b,p,t,b,f,f,w,w,p,w,o,p,h,v,g,p,p
k,y,n,t,,f,c,b,w,e,,s,s,w,w,p,w,t,e,w,c,w,e,w
,y,y,f,f,,c,b,h,e,b,k,k,n,b,p,w,8,l,h,y,p,p,h
f,s,b,t,,,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u,p,h
f,y,g,f,f,,c,b,h,e,b,k,k,n,n,p,w,8,l,h,v,d,p,h
x,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,8,l,h,v,d,p,h
x,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,8,l,h,v,d,p,p
x,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,8,l,h,y,p,p,g
x,y,y,f,,,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d,p,h
,y,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,8,l,h,y,d,p,h
x,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p,p,g
x,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,8,l,h,y,p,p,g
f,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,8,l,h,v,p,p,p
,s,e,t,n,f,c,b,w,e,,s,s,e,w,p,w,8,e,w,c,w,e,w
f,y,n,t,,f,c,b,e,e,,s,s,e,w,p,w,t,e,w,c,w,e,e
f,s,b,t,n,,c,b,w,e,,s,s,e,w,p,w,t,e,w,c,w,e,w
x,y,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,8,l,h,v,d,p,g
f,f,g,t,,,c,b,u,t,b,s,s,p,p,p,w,8,p,n,v,d,e,u
,f,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p,p,p
f,y,g,f,f,,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,g,p,h
x,s,g,t,f,f,c,b,p,t,b,f,f,w,w,p,w,8,p,h,v,g,p,p
f,f,g,f,,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p,p,p
,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,8,l,h,y,d,p,h
f,f,Y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,8,l,h,v,g,p,p
x,y,n,f,f,f,c,n,b,t,,k,k,w,w,p,w,8,e,w,v,l,p,b
,f,G,f,f,f,c,b,h,e,b,k,k,b,n,p,w,8,l,h,v,p,p,h
f,y,n,t,n,,c,b,e,e,,s,s,w,w,p,w,t,e,w,c,w,e,e
f,y,E,t,,,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,e,p
f,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g,p,g
x,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p,p,h
f,f,g,f,f,,c,b,p,e,b,k,k,n,n,p,w,8,l,h,y,d,p,p
f,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,8,p,n,v,d,e,n
x,y,y,f,f,,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p,p,h
f,f,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p,p,p
f,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,8,l,h,v,p,p,p
,y,y,f,f,,c,b,g,e,b,k,k,n,b,p,w,8,l,h,y,d,p,g
x,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,8,l,h,v,d,p,h
b,y,w,t,n,,c,b,w,e,b,s,s,w,w,p,w,8,p,r,v,m,p,w
f,f,y,f,,f,c,b,p,e,b,k,k,p,p,p,w,8,l,h,y,p,p,p
,y,n,f,f,f,c,n,b,t,,k,s,p,w,p,w,o,e,w,v,d,p,b
f,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g,p,g
,y,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,8,l,h,v,g,p,g
f,y,y,f,f,,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,p,g
f,y,p,t,n,f,c,b,e,e,,s,s,e,e,p,w,8,e,w,c,w,e,e
,s,w,t,f,f,c,b,h,t,b,s,s,w,w,p,w,o,p,h,s,g,p,h
f,y,g,f,,f,c,b,h,e,b,k,k,n,p,p,w,8,l,h,y,g,p,h
,y,g,f,f,,c,b,h,e,b,k,k,b,b,p,w,8,l,h,v,p,p,h
,f,Y,f,,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,g,p,p
f,s,b,t,,,c,b,w,t,b,f,s,w,w,p,w,8,p,h,s,u,p,w
x,f,G,f,c,f,c,n,g,e,b,s,s,w,w,p,w,8,p,k,v,d,p,g
,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,8,l,h,y,p,p,g
f,y,g,f,,,c,b,p,e,b,k,k,b,p,p,w,8,l,h,y,g,p,p
f,y,y,f,,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p,p,h
x,y,r,f,n,f,c,n,p,e,,s,f,w,w,p,w,o,f,h,y,d,e,p
f,y,w,f,n,f,c,n,h,e,,s,f,w,w,p,w,8,f,h,v,d,e,h
x,f,y,f,f,,c,b,h,e,b,k,k,n,b,p,w,8,l,h,v,d,p,h
,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,p,h
f,y,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,8,l,h,y,g,p,p
x,y,e,f,y,f,c,n,b,t,,k,k,p,w,p,w,8,e,w,v,p,p,b
x,y,E,f,y,f,c,n,b,t,,k,k,p,w,p,w,o,e,w,v,l,p,b
x,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d,p,h
x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,8,l,h,v,g,p,g
f,f,g,f,f,,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d,p,h
x,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,8,l,h,y,g,p,g
